status_id,permalink,mitu_link,sharetext,post_type,category,date,sponsored,reposted,original,repost,repost_order,times_repost,days_bet_repost
1405630409737397_1579802505653519,https://www.facebook.com/wearemitu/posts/1579802505653519,https://wearemitu.com/mitu-world/dolores-huerta-was-wrong-this-weekend-and-heres-why/,This is the comment that started it all.,Link,Citizenship & Politics,11/04/2016,0,1,0,1,1,1,47
1405630409737397_1659833854317050,https://www.facebook.com/1405630409737397_1659833854317050,https://wearemitu.com/mitu-world/dominican-cops-are-arresting-lgbtq-so-they-can-ask-for-bribes/,It's unbelievable that this is still happening.,Link,News & Issues,15/10/2016,0,0,1,0,,,
1405630409737397_1553430571624046,https://www.facebook.com/wearemitu/posts/1553430571624046,https://wearemitu.com/mitu-world/dominican-girls-who-become-boys-at-12/,Something unbelievable is happening to girls in this village.,Link,Sex & Relationships,13/02/2016,0,1,1,0,0,1,0
1405630409737397_1579819052318531,https://www.facebook.com/wearemitu/posts/1579819052318531,https://wearemitu.com/mitu-world/dominican-girls-who-become-boys-at-12/,Something unbelievable is happening to girls in this village.,Link,Sex & Relationships,11/04/2016,0,1,0,1,1,1,58
1405630409737397_1679971612303274,https://www.facebook.com/1405630409737397_1679971612303274,https://wearemitu.com/mitu-world/dominicans-are-calling-out-jeff-sessions-for-his-comments-on-dominican-immigrants/,I'm so done with politicians and their racist comments.,Link,Citizenship & Politics,22/11/2016,0,0,1,0,,,
1405630409737397_1595502220750214,https://www.facebook.com/wearemitu/posts/1595502220750214,https://wearemitu.com/mitu-world/donald-trump-cancels-interview-with-a-reporter-because-he-answered-his-phone-in-spanish/,What is Trump afraid of?,Link,News & Issues,17/05/2016,0,0,1,0,,,
1405630409737397_1562235734076863,https://www.facebook.com/wearemitu/posts/1562235734076863,https://wearemitu.com/mitu-world/donald-trump-flip-flopped-on-immigration-and-got-called-out-for-it/,This is embarrassing.,Link,Citizenship & Politics,7/03/2016,0,1,1,0,0,1,0
1405630409737397_1579367542363682,https://www.facebook.com/wearemitu/posts/1579367542363682,https://wearemitu.com/mitu-world/donald-trump-flip-flopped-on-immigration-and-got-called-out-for-it/,This is embarrassing.,Link,Citizenship & Politics,10/04/2016,0,1,0,1,1,1,34
1405630409737397_1637078163259286,https://www.facebook.com/wearemitu/posts/1637078163259286,https://wearemitu.com/mitu-world/donald-trump-is-actually-making-arizona-more-liberal/,It might backfire on his ass.,Link,Citizenship & Politics,22/08/2016,0,0,1,0,,,
1405630409737397_1523148854652218,https://www.facebook.com/wearemitu/posts/1523148854652218,https://wearemitu.com/mitu-world/donald-trump-is-described-as-a-bigot-and-a-racist/,This is how you shame Trump publicly.,Link,Citizenship & Politics,5/12/2015,0,1,1,0,0,1,0
