status_id,permalink,post_type,video_repost_sharetext,created_time,date,sponsored,video_meme,series,category,format,reposted,original,repost,repost_order,times_repost,days_bet_repost
1405630409737397_1671325539834548,https://www.facebook.com/1405630409737397_1671325539834548,video,You are how you eat corn (elote),5/11/2016 7:00,5/11/2016,0,0,NA,Food & Beverages,Regular,1,0,1,1,1,77
1405630409737397_1694710777496024,https://www.facebook.com/1405630409737397_1694710777496024,video,You better start sleeping with one eye open!,20/12/2016 11:00,20/12/2016,0,1,Video Memes,Family & Friends,Square,1,1,0,0,1,0
1405630409737397_1709708182662950,https://www.facebook.com/1405630409737397_1709708182662950,video,You better start sleeping with one eye open!,19/01/2017 7:00,19/01/2017,0,1,Video Memes,Family & Friends,Square,1,0,1,1,1,30
1405630409737397_1667182713582164,https://www.facebook.com/1405630409737397_1667182713582164,video,You can't hide from the Chancla.,27/10/2016 16:00,27/10/2016,0,0,Mexican Horror,Latino Culture,Square,1,1,0,0,1,0
1405630409737397_1692208267746275,https://www.facebook.com/1405630409737397_1692208267746275,video,You can't hide from the Chancla.,15/12/2016 7:00,15/12/2016,0,0,Mexican Horror,Latino Culture,Square,1,0,1,1,1,49
1405630409737397_1653851844915251,https://www.facebook.com/wearemitu/videos/1653851844915251/,video,You can't invite latinos anywhere!,2/10/2016 11:00,2/10/2016,0,1,Video Memes,Latino Culture,Square,1,1,0,0,1,0
1405630409737397_1689581648008937,https://www.facebook.com/1405630409737397_1689581648008937,video,You can't invite latinos anywhere!,11/12/2016 7:00,11/12/2016,0,1,Video Memes,Latino Culture,Square,1,0,1,1,1,70
1405630409737397_1637522919881477,https://www.facebook.com/1405630409737397_1637522919881477,video,"You can't lie, it's pretty magical.",23/08/2016 20:00,23/08/2016,0,1,Video Memes,Food & Beverages,Square,1,1,0,0,3,0
1405630409737397_1683592931941142,https://www.facebook.com/1405630409737397_1683592931941142,video,"You can't lie, it's pretty magical.",29/11/2016 20:00,29/11/2016,0,1,Video Memes,Food & Beverages,Square,1,0,1,1,3,98
1405630409737397_1708739116093190,https://www.facebook.com/1405630409737397_1708739116093190,video,"You can't lie, it's pretty magical.",17/01/2017 7:00,17/01/2017,0,1,Video Memes,Food & Beverages,Square,1,0,1,2,3,49
1405630409737397_1791199067847194,https://www.facebook.com/1405630409737397_1791199067847194,video,"You can't lie, it's pretty magical.",27/06/2017 7:00,27/06/2017,0,1,Video Memes,Food & Beverages,Square,1,0,1,3,3,161
1405630409737397_1596883590612077,https://www.facebook.com/1405630409737397_1596883590612077,video,You didn't talk like that a month ago.,21/05/2016 11:00,21/05/2016,0,1,Video Memes,Family & Friends,Square,0,1,0,,,
1405630409737397_1674000389567063,https://www.facebook.com/1405630409737397_1674000389567063,video,You don't gotta tell me twice!,10/11/2016 11:00,10/11/2016,0,1,Video Memes,Music,Square,0,1,0,,,
1405630409737397_1803242303309537,https://www.facebook.com/1405630409737397_1803242303309537,video,You don't want to mess with these Latina Moms.,19/07/2017 16:00,19/07/2017,0,0,Moms Try,Family & Friends,Square,0,1,0,,,
1405630409737397_1669734103327025,https://www.facebook.com/1405630409737397_1669734103327025,video,"You even LOOK good doing it.
Vote November 8. Learn more: bit.ly/2fa6xpa",1/11/2016 18:30,1/11/2016,1,0,Voting,Citizenship & Politics,Square,0,1,0,,,
1405630409737397_1537062739927496,https://www.facebook.com/1405630409737397_1537062739927496,video,You gotta love soccer!,4/01/2016 18:00,4/01/2016,0,0,NA,Sports,Regular,0,1,0,,,
1405630409737397_1554641521502951,https://www.facebook.com/1405630409737397_1554641521502951,video,You have to watch it with sound. #LOL,16/02/2016 16:00,16/02/2016,0,1,Video Memes,Celebrity & Gossip,Square,0,1,0,,,
1405630409737397_1675001309466971,https://www.facebook.com/1405630409737397_1675001309466971,video,"You know about John Whick, but do you know about Juan Carlo.",11/11/2016 16:00,11/11/2016,0,0,Sketch,TV & Movies,Regular,1,1,0,0,1,0
1405630409737397_1745938915706543,https://www.facebook.com/1405630409737397_1745938915706543,video,"You know about John Whick, but do you know about Juan Carlo.",1/04/2017 7:00,1/04/2017,0,0,Sketch,TV & Movies,Regular,1,0,1,1,1,141
1405630409737397_1781384452161989,https://www.facebook.com/1405630409737397_1781384452161989,video,You know how we do!,8/06/2017 11:00,8/06/2017,0,1,Video Memes,Latino Culture,Square,0,1,0,,,
1405630409737397_1746322845668150,https://www.facebook.com/1405630409737397_1746322845668150,video,You know how we get down! (Lowriders Movie),30/03/2017 11:00,30/03/2017,0,1,Bad Hombres Share,Sex & Relationships,Square,0,1,0,,,
1405630409737397_1739398353027266,https://www.facebook.com/1405630409737397_1739398353027266,video,You know it's gonna be a good day when you slay the eyeliner.,19/03/2017 7:00,19/03/2017,0,1,Video Memes,Beauty & Fashion,Square,0,1,0,,,
1405630409737397_1809399752693792,https://www.facebook.com/1405630409737397_1809399752693792,video,You know it's good when you make that face.,2/08/2017 7:00,2/08/2017,0,1,Video Memes,Celebrity & Gossip,Square,0,1,0,,,
1405630409737397_1689471881353247,https://www.facebook.com/1405630409737397_1689471881353247,video,You know that DJ is dead.,9/12/2016 16:00,9/12/2016,0,1,Video Memes,Sex & Relationships,Square,1,1,0,0,2,0
1405630409737397_1703995189900916,https://www.facebook.com/1405630409737397_1703995189900916,video,You know that DJ is dead.,7/01/2017 20:00,7/01/2017,0,1,Video Memes,Sex & Relationships,Square,1,0,1,1,2,29
1405630409737397_1721219834845118,https://www.facebook.com/1405630409737397_1721219834845118,video,You know that DJ is dead.,10/02/2017 20:00,10/02/2017,0,1,Video Memes,Sex & Relationships,Square,1,0,1,2,2,34
1405630409737397_1782521178714983,https://www.facebook.com/1405630409737397_1782521178714983,video,You know the food was good if this happens.,10/06/2017 16:00,10/06/2017,0,1,Video Memes,Food & Beverages,Square,1,1,0,0,1,0
1405630409737397_1798587250441709,https://www.facebook.com/1405630409737397_1798587250441709,video,You know the food was good if this happens.,12/07/2017 20:00,12/07/2017,0,1,Video Memes,Food & Beverages,Square,1,0,1,1,1,32
1405630409737397_1648738542093248,https://www.facebook.com/1405630409737397_1648738542093248,video,You know who you are!,19/09/2016 7:00,19/09/2016,0,1,Video Memes,Family & Friends,Square,0,1,0,,,
1405630409737397_1603319113301858,https://www.facebook.com/1405630409737397_1603319113301858,video,You know you at a PR festival when…,4/06/2016 16:00,4/06/2016,0,1,Video Memes,Latino Culture,Square,0,1,0,,,
1405630409737397_1814818868818547,https://www.facebook.com/1405630409737397_1814818868818547,video,You know youre Salvadoran when...,13/08/2017 10:07,13/08/2017,0,0,NA,Latino Culture,Square,0,1,0,,,
1405630409737397_1751025228531245,https://www.facebook.com/1405630409737397_1751025228531245,video,You need to try these right now!,10/04/2017 11:00,10/04/2017,0,0,NA,Food & Beverages,Square,1,1,0,0,1,0
1405630409737397_1765716647062103,https://www.facebook.com/1405630409737397_1765716647062103,video,You need to try these right now!,8/05/2017 7:00,8/05/2017,0,0,NA,Food & Beverages,Square,1,0,1,1,1,28
1405630409737397_1748613525439082,https://www.facebook.com/1405630409737397_1748613525439082,video,You probably have a dirty mouth and not even know it.,4/04/2017 11:03,4/04/2017,0,0,NA,Latino Culture,Regular,1,1,0,0,2,0
1405630409737397_1764716377162130,https://www.facebook.com/1405630409737397_1764716377162130,video,You probably have a dirty mouth and not even know it.,4/05/2017 20:00,4/05/2017,0,0,NA,Latino Culture,Regular,1,0,1,1,2,30
1405630409737397_1778951872405247,https://www.facebook.com/1405630409737397_1778951872405247,video,You probably have a dirty mouth and not even know it.,2/06/2017 20:00,2/06/2017,0,0,NA,Latino Culture,Regular,1,0,1,2,2,29
1405630409737397_1800800116887089,https://www.facebook.com/1405630409737397_1800800116887089,video,You said 1 chip!,17/07/2017 11:00,17/07/2017,0,1,Video Memes,Family & Friends,Square,0,1,0,,,
